time_iso8601,stars_cumulative
2021-09-05 00:00:00+00:00,370
2021-09-06 00:00:00+00:00,372
2021-09-07 00:00:00+00:00,374
2021-09-09 00:00:00+00:00,375
2021-09-11 00:00:00+00:00,376
2021-09-13 00:00:00+00:00,379
2021-09-14 00:00:00+00:00,380
2021-09-17 00:00:00+00:00,381
2021-09-18 00:00:00+00:00,382
2021-09-20 00:00:00+00:00,388
2021-09-23 00:00:00+00:00,389
2021-09-26 00:00:00+00:00,391
2021-09-28 00:00:00+00:00,393
2021-09-29 00:00:00+00:00,394
2021-10-01 00:00:00+00:00,395
2021-10-02 00:00:00+00:00,396
2021-10-05 00:00:00+00:00,397
2021-10-06 00:00:00+00:00,398
2021-10-07 00:00:00+00:00,399
2021-10-09 00:00:00+00:00,403
2021-10-11 00:00:00+00:00,404
2021-10-13 00:00:00+00:00,405
2021-10-14 00:00:00+00:00,406
2021-10-15 00:00:00+00:00,409
2021-10-16 00:00:00+00:00,410
2021-10-17 00:00:00+00:00,411
2021-10-18 00:00:00+00:00,412
2021-10-19 00:00:00+00:00,413
2021-10-20 00:00:00+00:00,414
2021-10-21 00:00:00+00:00,415
2021-10-23 00:00:00+00:00,416
2021-10-27 00:00:00+00:00,417
2021-10-29 00:00:00+00:00,418
2021-10-30 00:00:00+00:00,419
2021-11-01 00:00:00+00:00,421
2021-11-06 00:00:00+00:00,424
2021-11-07 00:00:00+00:00,425
2021-11-09 00:00:00+00:00,426
2021-11-10 00:00:00+00:00,427
2021-11-12 00:00:00+00:00,428
2021-11-14 00:00:00+00:00,429
2021-11-16 00:00:00+00:00,431
2021-11-19 00:00:00+00:00,432
2021-11-20 00:00:00+00:00,433
2021-11-22 00:00:00+00:00,434
2021-11-24 00:00:00+00:00,437
2021-11-25 00:00:00+00:00,438
2021-11-26 00:00:00+00:00,439
2021-11-27 00:00:00+00:00,440
2021-11-29 00:00:00+00:00,441
2021-11-30 00:00:00+00:00,442
2021-12-01 00:00:00+00:00,445
2021-12-02 00:00:00+00:00,446
2021-12-03 00:00:00+00:00,447
2021-12-04 00:00:00+00:00,449
2021-12-05 00:00:00+00:00,450
2021-12-06 00:00:00+00:00,451
2021-12-07 00:00:00+00:00,456
2021-12-08 00:00:00+00:00,457
2021-12-09 00:00:00+00:00,458
2021-12-10 00:00:00+00:00,459
2021-12-11 00:00:00+00:00,460
2021-12-12 00:00:00+00:00,462
2021-12-13 00:00:00+00:00,463
2021-12-14 00:00:00+00:00,464
2021-12-15 00:00:00+00:00,465
2021-12-19 00:00:00+00:00,467
2021-12-20 00:00:00+00:00,468
2021-12-22 00:00:00+00:00,469
2021-12-25 00:00:00+00:00,470
2021-12-28 00:00:00+00:00,472
2021-12-29 00:00:00+00:00,473
2021-12-30 00:00:00+00:00,474
2022-01-01 00:00:00+00:00,476
2022-01-02 00:00:00+00:00,477
2022-01-03 00:00:00+00:00,480
2022-01-07 00:00:00+00:00,482
2022-01-08 00:00:00+00:00,483
2022-01-09 00:00:00+00:00,484
2022-01-10 00:00:00+00:00,485
2022-01-11 00:00:00+00:00,487
2022-01-12 00:00:00+00:00,490
2022-01-13 00:00:00+00:00,494
2022-01-19 00:00:00+00:00,497
2022-01-21 00:00:00+00:00,498
2022-01-25 00:00:00+00:00,500
2022-01-26 00:00:00+00:00,501
2022-01-27 00:00:00+00:00,502
2022-01-30 00:00:00+00:00,503
2022-01-31 00:00:00+00:00,504
2022-02-03 00:00:00+00:00,505
2022-02-04 00:00:00+00:00,506
2022-02-05 00:00:00+00:00,508
2022-02-06 00:00:00+00:00,509
2022-02-08 00:00:00+00:00,510
2022-02-10 00:00:00+00:00,511
2022-02-11 00:00:00+00:00,512
2022-02-13 00:00:00+00:00,514
2022-02-14 00:00:00+00:00,515
2022-02-15 00:00:00+00:00,516
2022-02-17 00:00:00+00:00,517
2022-02-18 00:00:00+00:00,518
2022-02-19 00:00:00+00:00,519
2022-02-26 00:00:00+00:00,520
2022-02-27 00:00:00+00:00,521
2022-03-03 00:00:00+00:00,522
2022-03-05 00:00:00+00:00,523
2022-03-07 00:00:00+00:00,525
2022-03-08 00:00:00+00:00,526
2022-03-10 00:00:00+00:00,527
2022-03-11 00:00:00+00:00,529
2022-03-12 00:00:00+00:00,530
2022-03-13 00:00:00+00:00,531
2022-03-14 00:00:00+00:00,532
2022-03-15 00:00:00+00:00,536
2022-03-16 00:00:00+00:00,538
2022-03-17 00:00:00+00:00,539
2022-03-18 00:00:00+00:00,540
2022-03-20 00:00:00+00:00,541
2022-03-23 00:00:00+00:00,542
2022-03-24 00:00:00+00:00,544
2022-03-25 00:00:00+00:00,546
2022-03-26 00:00:00+00:00,548
2022-03-29 00:00:00+00:00,549
2022-03-30 00:00:00+00:00,551
2022-03-31 00:00:00+00:00,552
2022-04-01 00:00:00+00:00,554
2022-04-04 00:00:00+00:00,555
2022-04-06 00:00:00+00:00,556
2022-04-07 00:00:00+00:00,557
2022-04-08 00:00:00+00:00,559
2022-04-10 00:00:00+00:00,560
2022-04-13 00:00:00+00:00,561
2022-04-15 00:00:00+00:00,564
2022-04-17 00:00:00+00:00,565
2022-04-18 00:00:00+00:00,566
2022-04-20 00:00:00+00:00,569
2022-04-21 00:00:00+00:00,570
2022-04-22 00:00:00+00:00,571
2022-04-23 00:00:00+00:00,573
2022-04-24 00:00:00+00:00,575
2022-04-25 00:00:00+00:00,576
